zone_name,building_osm_id,building_number,candidate_zone,candidate_confidence,source,confirmed_zone,verification_status,notes
菊苑,osm:way:223859843,16,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
菊苑,osm:way:223859791,17,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
菊苑,osm:way:223859840,18,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
菊苑,osm:way:223859783,19,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
菊苑,osm:way:223859790,20,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
菊苑,osm:way:223859846,21,菊苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198908,22,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198909,23,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198910,24,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198911,25,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198912,26,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桃苑,osm:way:225198913,27,桃苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242507,28,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242509,29,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242511,30,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242513,31,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242515,32,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
李苑,osm:way:225242517,33,李苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225250615,34,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225251648,35,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225250617,36,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225250618,37,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225250619,38,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
柳苑,osm:way:225250620,39,柳苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255198,40,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255196,41,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255202,42,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255194,43,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255200,44,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
桂苑,osm:way:225255192,45,桂苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
南荷,osm:way:225253706,46,南荷,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
南荷,osm:way:225253707,47,南荷,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
北荷,osm:way:225253711,48,北荷,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
北荷,osm:way:225253712,49,北荷,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
,osm:way:225265337,,,UNKNOWN,https://www.openstreetmap.org/osm/way/225265337,,SOURCE_VERIFIED,青教公寓 is source-named but is not assigned to a numbered dormitory zone.
