osm_id,current_name,current_category,longitude,latitude,candidate_number,candidate_display_name,confidence,evidence,confirmed_number,confirmed_display_name,aliases,status,notes
osm:way:225250617,36,DORMITORY,118.9295618,32.1203833,36,36号楼,HIGH,OSM source name begins with the explicit number 36; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225250618,37,DORMITORY,118.9287315,32.1202950,37,37号楼,HIGH,OSM source name begins with the explicit number 37; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225250619,38,DORMITORY,118.9293366,32.1205801,38,38号楼,HIGH,OSM source name begins with the explicit number 38; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225250620,39,DORMITORY,118.9288251,32.1206683,39,39号楼,HIGH,OSM source name begins with the explicit number 39; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255198,40,DORMITORY,118.9288332,32.1210107,40,40号楼,HIGH,OSM source name begins with the explicit number 40; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255196,41,DORMITORY,118.9283853,32.1210789,41,41号楼,HIGH,OSM source name begins with the explicit number 41; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255202,42,DORMITORY,118.9289332,32.1213946,42,42号楼,HIGH,OSM source name begins with the explicit number 42; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255194,43,DORMITORY,118.9282198,32.1213022,43,43号楼,HIGH,OSM source name begins with the explicit number 43; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255200,44,DORMITORY,118.9287102,32.1215648,44,44号楼,HIGH,OSM source name begins with the explicit number 44; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225255192,45,DORMITORY,118.9283323,32.1216807,45,45号楼,HIGH,OSM source name begins with the explicit number 45; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225253706,46,DORMITORY,118.9275901,32.1203912,46,46号楼,HIGH,OSM source name begins with the explicit number 46; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225253707,47,DORMITORY,118.9270936,32.1204535,47,47号楼,HIGH,OSM source name begins with the explicit number 47; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225253711,48,DORMITORY,118.9272389,32.1208695,48,48号楼,HIGH,OSM source name begins with the explicit number 48; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225253712,49,DORMITORY,118.9267108,32.1209123,49,49号楼,HIGH,OSM source name begins with the explicit number 49; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225265337,青教公寓,DORMITORY,118.9209565,32.1193531,,青教公寓,UNKNOWN,"Dormitory category is source-backed, but the source name contains no numeric identifier",,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
